Currency|BinaryData|ShouldBuy|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|1
AVAXUSDT|11010|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|11101|True|1 - 2|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|11110|True|1 - 2|1 - 2|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|11111|False|0,5 - 1|1 - 2|1 - 2|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|01111|False|0,5 - 1|0,5 - 1|1 - 2|1 - 2|0,5 - 1|1
AVAXUSDT|00111|True|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1 - 2|1
AVAXUSDT|10011|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1
AVAXUSDT|01001|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|00100|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|00010|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|10001|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|11000|False|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|2
AVAXUSDT|01100|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|10110|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|11011|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|01101|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|10110|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|01011|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|00101|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10010|False|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|01001|False|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|00100|False|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|00010|True|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|1
AVAXUSDT|10001|False|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1
AVAXUSDT|01000|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|00100|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|00010|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|2
AVAXUSDT|00001|False|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|2
AVAXUSDT|00000|True|3 - 4|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10000|True|1 - 2|3 - 4|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|11000|True|0,5 - 1|1 - 2|3 - 4|0,5 - 1|0,5 - 1|1
AVAXUSDT|11100|False|0,5 - 1|0,5 - 1|1 - 2|3 - 4|0,5 - 1|1
AVAXUSDT|01110|False|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|3 - 4|1
AVAXUSDT|00111|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1
AVAXUSDT|10011|False|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|01001|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|10100|False|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|01010|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|00101|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|2
AVAXUSDT|00010|False|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|00001|True|1 - 2|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10000|True|1 - 2|1 - 2|1 - 2|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|11000|True|0,5 - 1|1 - 2|1 - 2|1 - 2|0,25 - 0,5|1
AVAXUSDT|11100|True|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|1
AVAXUSDT|11110|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1
AVAXUSDT|11111|True|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1
AVAXUSDT|11111|False|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|01111|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10111|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|01011|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|10101|False|0,0 - 0,25|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|01010|False|0,0 - 0,25|0,0 - 0,25|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|00101|True|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,5 - 1|0,5 - 1|1
AVAXUSDT|10010|False|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,5 - 1|1
AVAXUSDT|01001|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|1
AVAXUSDT|10100|False|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|1
AVAXUSDT|01010|False|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|00101|True|1 - 2|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10010|False|0,25 - 0,5|1 - 2|0,5 - 1|1 - 2|0,25 - 0,5|1
AVAXUSDT|01001|False|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|1 - 2|1
AVAXUSDT|00100|False|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|1
AVAXUSDT|00010|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|1
AVAXUSDT|10001|False|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|01000|True|0,25 - 0,5|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|10100|False|0,25 - 0,5|0,25 - 0,5|1 - 2|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|01010|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1 - 2|0,25 - 0,5|1
AVAXUSDT|10101|False|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1 - 2|1
AVAXUSDT|01010|False|0,5 - 1|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|00101|True|0,25 - 0,5|0,5 - 1|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|1
AVAXUSDT|10010|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,0 - 0,25|0,25 - 0,5|2
AVAXUSDT|11001|False|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,0 - 0,25|2
AVAXUSDT|01100|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|2
